이름,성격,직업,외모,사회관계,목표,역할
김두한,정의감 강함,슈퍼히어로,광대 분장,사회에서 소외,복수를 달성,5
김민애,호기심 많음,주먹 대부,평범한 학생의 모습,혼자 싸움,억압받는 자를 해방,10
강강술래,냉소적,범죄자,장발과 얼음 같은 외모,외로운 영웅,억압받는 자를 해방,5
조커,잔인함과 폭력성,암살자,날카로운 얼굴선,배신,세계 지배,0
홍길동,열정적,경찰,근육질 체격,동료들과 돈독함,복수를 달성,10
베지터,잔인함과 폭력성,암살자,날카로운 얼굴선,배신,최강이 되는 것,0
엘사,잔인함과 폭력성,암살자,날렵한 몸매,배신,부자 되기,0
이소은,"정의로움, 동정심 많음",간호사,"밝은표정, 따뜻한 미소",사회적 문제 해결을 위한 협력과 동참,자신의 왕국 지키기,10
1,"정의감 강함, 친절함",탐정,강철 슈트,팀과 협력,정의실현,10
2,이기적이고 욕망에 사로잡힘,학생,날카로운 얼굴선,희생시키거나 조종,부자 되기,0
3,자신감 넘침,주먹 대부,평범한 학생의 모습,가족 중심,진실 밝히기,5
4,"희생적임, 겸손함",판사,안경을 쓴 평범함,동료들과 돈독함,약자 보호,10
5,이기적이고 욕망에 사로잡힘,범죄자,차가운 표정,희생시키거나 조종,부자 되기,0
6,냉소적,범죄자,날카로운 얼굴선,능숙한 전략가,자유를 억제,0
7,열정적,슈퍼히어로,깔끔하고 단정함,사회에서 소외,진실 밝히기,5
8,신중함,변호사,평범한 학생의 모습,혼자 싸움,최강이 되는 것,10
9,"인내심강함, 이타적임",왕,강인한 인상,리더십 있음,사람들을 구함,10
10,책임감 강함,왕,강인한 인상,혼자 싸움,마법의 비밀 파헤치기,5
11,호기심 많음,슈퍼히어로,장발과 얼음 같은 외모,리더십 있음,정의를 실현,5
12,"낙천적임, 정직함",전사,강인한 인상,협력하는 관계,평화유지,10
13,"협력적임, 용서하는 마음",슈퍼히어로,밝고 활기찬 모습,사회적 문제 해결을 위한 적극적인 참여,불평등해소,10
14,"충성심 강함, 공감능력 뛰어남",군인,매력적인 웃음,자신의 경험과 지혜를 나누는 선한 영향력,가족보호,10
15,"리더십있음, 창의적임",의적,시원한 이미지,"부모, 형제, 자녀와의 깊은 유대",사랑하는 사람 보호,10
16,자존심 강함,슈퍼히어로,광대 분장,리더십 있음,혼돈 조장,5
